origin,destination,weight,delivery_date,status
China,France,48.67,2024-07-10,In Transit
USA,UK,40.81,2024-11-24,Delivered
China,Italy,7.48,2024-05-28,Delivered
Spain,Italy,5.71,2024-03-20,Delivered
USA,France,42.94,2024-01-07,In Transit
Tunisia,France,44.37,2024-02-08,In Transit
China,France,46.91,2024-09-28,Delivered
Spain,France,5.81,2024-05-21,Pending
USA,France,26.29,2024-07-22,Delivered
Germany,Germany,43.49,2024-06-15,In Transit
China,France,40.09,2024-05-07,Pending
USA,France,47.75,2024-11-06,In Transit
USA,Italy,31.87,2024-02-12,Delivered
Germany,France,25.44,2024-01-13,In Transit
Spain,France,15.09,2024-06-13,Delivered
China,France,42.62,2024-07-06,In Transit
USA,France,4.41,2024-08-07,Pending
USA,France,41.86,2024-07-27,Delivered
Tunisia,France,12.7,2024-12-19,Delivered
Spain,France,42.68,2024-05-03,Delivered
Spain,France,-9.55,2024-07-09,Pending
Tunisia,France,21.84,2024-02-01,Pending
China,France,46.95,2024-08-08,Delivered
China,France,33.83,2024-02-20,Delivered
Spain,France,7.95,2024-10-09,In Transit
USA,Germany,-5.42,2024-01-14,Delivered
Germany,Italy,14.53,2024-10-09,Delivered
China,UK,49.96,2024-01-06,Pending
USA,UK,23.07,2024-02-22,In Transit
USA,France,13.64,2024-05-06,Pending
USA,Germany,30.09,2024-10-09,In Transit
USA,France,8.97,2024-02-22,Pending
Spain,UK,20.53,2024-10-24,In Transit
Spain,UK,-8.67,2024-11-26,Pending
Tunisia,UK,5.68,2024-10-09,Delivered
USA,Germany,-8.4,2024-02-25,Pending
Germany,France,6.72,2024-11-22,In Transit
USA,France,-1.24,2024-07-24,Delivered
USA,Germany,38.34,2024-02-02,Pending
Spain,Italy,18.2,2024-04-01,Delivered
USA,Germany,30.02,2024-10-15,Delivered
Spain,Italy,0.61,2024-08-09,In Transit
USA,France,37.97,2024-12-25,In Transit
China,France,41.11,2024-11-08,Delivered
USA,UK,7.95,2024-12-11,In Transit
China,France,12.81,2024-11-18,Delivered
Spain,Germany,7.95,2024-10-09,Delivered
Spain,France,28.27,2024-09-26,Delivered
China,France,27.23,2024-08-02,In Transit
Germany,Italy,7.95,2024-10-09,In Transit
Tunisia,France,39.63,2024-01-26,In Transit
Spain,France,49.62,2024-03-15,Delivered
Spain,France,7.95,2024-07-02,Delivered
Germany,Germany,32.24,2024-04-19,Pending
Spain,France,48.98,2024-07-08,In Transit
Tunisia,UK,7.95,2024-06-08,In Transit
Spain,Italy,12.18,2024-05-10,Delivered
Germany,Germany,45.45,2024-10-09,Pending
Spain,France,45.79,2024-03-24,Delivered
China,France,-8.29,2024-05-09,In Transit
China,Germany,11.22,2024-10-09,Delivered
Tunisia,France,48.2,2024-03-28,In Transit
Tunisia,France,7.95,2024-06-06,Pending
China,France,12.76,2024-07-25,Delivered
USA,France,48.16,2024-04-20,Delivered
USA,Italy,28.46,2024-06-12,Delivered
Germany,France,38.36,2024-10-09,In Transit
Tunisia,Germany,21.31,2024-05-21,Pending
Spain,Germany,14.16,2024-11-22,Delivered
Germany,Italy,6.53,2024-01-18,Pending
USA,Germany,35.58,2024-10-09,Delivered
Tunisia,Italy,33.89,2024-09-21,Delivered
Tunisia,France,-3.38,2024-04-04,Pending
USA,Italy,38.8,2024-08-15,In Transit
Tunisia,France,47.88,2024-03-26,Pending
Tunisia,Germany,4.85,2024-08-10,In Transit
Tunisia,France,9.72,2024-07-23,In Transit
USA,France,-7.78,2024-03-24,Pending
Germany,Italy,43.87,2024-02-02,In Transit
Spain,Italy,29.02,2024-07-21,Delivered
Spain,France,7.95,2024-10-19,Pending
