shipment_id,origin,destination,weight,shipping_cost,delivery_date,status
SH-2000,China,France,48.67,75.92,07/10/2024,In Transit
SH-2001,USA,UK,40.81,99.58,11/24/2024,Delivered
SH-2002,China,Italy,7.48,102.32,2024/05/28,Delivered
SH-2003,Spain,Italy,5.71,138.78,2024-03-20,Delivered
SH-2004,USA,,42.94,136.62,2024/01/07,In Transit
SH-2005,Tunisia,France,44.37,160.9,2024/02/08,In Transit
SH-2006,China,,46.91,76.28,2024-09-28,Delivered
SH-2007,Spain,invalid,5.81,20.49,05/21/2024,Pending
SH-2008,USA,invalid,26.29,3.47,2024-07-22,Delivered
SH-2009,Germany,Germany,43.49,87.96,06/15/2024,In Transit
SH-2010,China,France,40.09,127.3,2024/05/07,Pending
SH-2011,USA,France,47.75,abc,11/06/2024,In Transit
SH-2012,USA,Italy,31.87,25.97,2024-02-12,Delivered
SH-2013,Germany,abc,25.44,174.79,01/13/2024,In Transit
SH-2014,Spain,France,15.09,32.99,2024-06-13,Delivered
SH-2015,China,France,42.62,135.36,07/06/2024,In Transit
SH-2016,USA,,4.41,154.69,08/07/2024,Pending
SH-2017,USA,,41.86,62.93,07/27/2024,Delivered
SH-2018,Tunisia,France,12.7,156.37,2024-12-19,Delivered
SH-2019,Spain,,42.68,,2024/05/03,Delivered
SH-2020,Spain,France,-9.55,182.66,07/09/2024,Pending
SH-2021,Tunisia,,21.84,75.47,02/01/2024,Pending
SH-2022,China,France,46.95,-11.91,2024-08-08,Delivered
SH-2023,China,abc,33.83,172.95,2024/02/20,Delivered
SH-2024,Spain,,,118.94,,In Transit
SH-2025,USA,Germany,-5.42,abc,2024/01/14,Delivered
SH-2026,Germany,Italy,14.53,49.49,,Delivered
SH-2027,China,UK,49.96,-2.0,2024-01-06,Pending
SH-2028,USA,UK,23.07,abc,2024-02-22,In Transit
SH-2029,USA,France,13.64,95.37,2024/05/06,Pending
SH-2030,USA,Germany,30.09,79.83,,In Transit
SH-2031,USA,,8.97,65.67,02/22/2024,Pending
SH-2032,Spain,UK,20.53,-2.81,2024-10-24,In Transit
SH-2033,Spain,UK,-8.67,81.5,11/26/2024,Pending
SH-2034,Tunisia,UK,5.68,abc,abc,Delivered
SH-2035,USA,Germany,-8.4,196.08,02/25/2024,Pending
SH-2036,Germany,invalid,6.72,58.87,2024-11-22,In Transit
SH-2037,USA,,-1.24,134.25,2024-07-24,Delivered
SH-2038,USA,Germany,38.34,157.07,2024-02-02,Pending
SH-2039,Spain,Italy,18.2,-16.57,2024/04/01,Delivered
SH-2040,USA,Germany,30.02,8.02,2024/10/15,Delivered
SH-2343,Spain,Italy,0.61,123.74,08/09/2024,In Transit
SH-2042,USA,France,37.97,80.77,2024/12/25,In Transit
SH-2043,China,,41.11,invalid,2024/11/08,Delivered
SH-2044,USA,UK,invalid,-16.07,2024-12-11,In Transit
SH-2045,China,,12.81,184.38,2024-11-18,Delivered
SH-2046,Spain,Germany,,145.67,abc,Delivered
SH-2047,Spain,France,28.27,135.55,2024-09-26,Delivered
SH-2375,China,France,27.23,196.78,08/02/2024,In Transit
SH-2049,Germany,Italy,,abc,invalid,In Transit
SH-2050,Tunisia,France,39.63,74.41,01/26/2024,In Transit
SH-2051,Spain,France,49.62,195.38,2024-03-15,Delivered
SH-2052,Spain,,,1.64,2024-07-02,Delivered
SH-2053,Germany,Germany,32.24,184.41,2024-04-19,Pending
