order_id,product_name,category,warehouse,supplier,quantity,unit_price,order_date,shipment_date,delivery_date,destination_city,transport_mode,status
1000,Phone,Electronics,Sfax_WH2,Samsung,5.0,1200,2024-01-02,2024-01-05,2024-01-08,Bizerte,Air,In Transit
1001,Mouse,Office Supplies,Tunis_WH1,Dell,3.0,60,2024-01-06,2024-01-09,2024-01-13,Sfax,Air,In Transit
1002,ROUTER,Electronics,,Samsung,15.0,300,2024-01-02,2024-01-05,2024-01-07,GABES,Road,Delivered
1003,Tablet,Electronics,Sousse_WH3,Samsung,7.0,99999,2024-02-14,2024-02-16,2024-02-19,Monastir,Road,Delivered
1004,Phone,Electronics,Sousse_WH3,Huawei,,1200,2024-01-25,2024-01-26,2024-01-29,Monastir,Air,In Transit
1005,Keyboard,Office Supplies,,Huawei,10.0,100,2024-02-04,2024-02-05,2024-02-09,Monastir,Sea,shipping
1006,Printer,Office Supplies,Tunis_WH1,Logitech,8.0,700,2024-02-06,2024-02-07,2024-08-02,Monastir,road,delivered
1007,Chair,Furniture,Sousse_WH3,HP,12.0,150,2024-02-25,2024-02-25,2024-03-01,Sfax,Road,Pending
1008,Chair,Furniture,Sfax_WH2,Huawei,8.0,150,2024-02-12,2024-02-14,2024-02-15,Sfax,Road,Pending
1009,desk,Furniture,Sfax_WH2,Logitech,11.0,400,2024-02-29,2024-02-29,2024-03-08,Monastir,Air,Delivered
1010,Laptop,Electronics,Sousse_WH3,Dell,7.0,2500,2024-02-21,2024-02-23,2024-02-27,Gabes,Sea,Pending
1011,Chair,Furniture,,Samsung,9.0,150,2024-02-11,2024-02-13,2024-02-17,sfax, Air ,In Transit
1012,Mouse,Office Supplies,Nabeul_WH4,Huawei,13.0,-100,2024-02-04,2024-02-06,2024-11-02,Sousse,Air,Delivered
1013,Mouse,Office Supplies,Tunis_WH1,Samsung,6.0,0,2024-02-01,2024-02-02,2024-02-03,MONASTIR,Sea,Pending
1014,ROUTER,Electronics,Nabeul_WH4,Huawei,9.0,-100,2024-01-05,2024-01-07,2024-01-11,Gabes,Air,delivered
1015,Phone,Electronics,Sousse_WH3,Dell,10.0,1200,2024-02-13,2024-02-16,2024-02-19,Nabeul,Air,Pending
1016,Laptop,Electronics,Sfax_WH2,Huawei,4.0,2500,2024-02-16,2024-02-19,2024-02-22,Monastir, Sea ,Pending
1017,Mouse,Office Supplies,Sousse_WH3,Cisco,6.0,60,2024-02-08,2024-02-09,2024-11-02,Gabes,SEA,Delivered
1018,Router,Electronics,Tunis_WH1,Ikea,10.0,0,2024-01-21,2024-01-23,2024-01-24,Sfax,Air,Delivered
1019,Router,Electronics,,Cisco,3.0,-100,2024-03-01,2024-03-02,2024-03-03,Monastir,Sea,shipping
